id,name,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,availability_365,bedrooms,bathrooms,review_scores_rating,accommodates,reviews_per_month,host_since,price_per_bedroom,price_per_bathroom,price_per_person,host_experience_years,experienced_host,luxury_flag
77175,Private Studio with Kitchenette,395569,Glen Park,Entire home/apt,135.0,3,434,138,1.0,1.0,4.89,2,2.51,2011-02-16,135.0,135.0,67.5,14.402739726027397,True,False
78651,Heart of the Mission: Hot spot,142882,Mission,Private room,85.0,30,92,312,2.0,2.0,4.73,1,0.54,2010-06-12,42.5,42.5,85.0,15.084931506849315,True,False
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Western Addition,Entire home/apt,83.0,30,38,165,1.0,1.0,4.84,4,0.22,2011-03-13,83.0,83.0,20.75,14.334246575342465,True,False
83257,Charming Lower Pac Hts Private Room,453743,Western Addition,Private room,91.0,7,116,179,1.0,1.0,4.86,1,0.68,2011-03-21,91.0,91.0,91.0,14.312328767123288,True,False
91957,Sunny SF Flat with 5*s,495796,Haight Ashbury,Entire home/apt,225.0,30,93,304,2.0,1.5,4.73,6,0.56,2011-04-09,112.5,150.0,37.5,14.26027397260274,True,False
96383,Prime Location Bright Private Room,216682,Pacific Heights,Private room,85.0,30,142,166,1.0,1.5,4.71,1,0.83,2010-08-29,85.0,56.666666666666664,85.0,14.871232876712329,True,False
99094,Spacious Edwardian Flat SF Mission,522225,Mission,Entire home/apt,395.0,4,23,11,3.0,1.0,4.96,4,0.13,2011-04-20,131.66666666666666,395.0,98.75,14.23013698630137,True,False
109883,San Francisco Serenity private/ lovely home,566147,West of Twin Peaks,Entire home/apt,126.0,2,524,347,1.0,1.0,4.74,4,3.07,2011-05-07,126.0,126.0,31.5,14.183561643835617,True,False
121065,Victorian 1BR/1BA in Castro/Duboce,608445,Western Addition,Entire home/apt,120.0,30,35,259,1.0,1.0,4.94,1,0.22,2011-05-20,120.0,120.0,120.0,14.147945205479452,True,False
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Inner Sunset,Entire home/apt,590.0,7,32,324,4.0,2.5,4.97,6,0.24,2011-05-23,147.5,236.0,98.33333333333333,14.139726027397261,True,True
132441,"Calm & Cool, Safe & Sunny on Bernal Hill",650862,Bernal Heights,Private room,85.0,1,208,225,1.0,1.0,4.83,2,1.22,2011-06-01,85.0,85.0,42.5,14.115068493150686,True,False
137129,San Francisco Luxury Rental,639671,Inner Richmond,Entire home/apt,550.0,2,8,60,3.0,3.0,5.0,6,0.12,2011-05-29,183.33333333333334,183.33333333333334,91.66666666666667,14.123287671232877,True,True
